54 378
35 39 1016612
35 40 1609
35 42 1003218
35 43 1014393
35 46 1006436
35 48 2007391
35 54 2006737
35 57 1004173
35 61 2564
35 65 1001609
35 71 1006046
35 82 1005782
35 87 5782
35 95 1002828
35 103 1009955
35 106 7391
35 111 9000
35 113 1007391
35 121 1010609
35 123 2008346
39 40 1018221
39 42 1002219
39 43 2219
39 46 1007656
39 48 1002219
39 54 1003218
39 57 1010830
39 61 1014048
39 65 1013702
39 71 1009265
39 82 1012439
39 87 1010830
39 95 1012483
39 103 1007046
39 106 1015657
39 111 1014048
39 113 1004173
39 121 2014092
39 123 2005437
40 42 1001609
40 43 1016002
40 46 1004827
40 48 2005782
40 54 2008346
40 57 1005782
40 61 4173
40 65 1000000
40 71 1004437
40 82 1007391
40 87 7391
40 95 1001219
40 103 1011564
40 106 9000
40 111 10609
40 113 1009000
40 121 1012218
40 123 2009955
42 43 1000000
42 46 5782
42 48 1004173
42 54 2005437
42 57 2001609
42 61 1002564
42 65 11828
42 71 7391
42 82 2003218
42 87 1003218
42 95 10609
42 103 2007046
42 106 1007391
42 111 1006436
42 113 2004827
42 121 1012218
42 123 1011564
43 46 1005437
43 48 1000000
43 54 1005437
43 57 1008611
43 61 1011829
43 65 1011483
43 71 1007046
43 82 1010220
43 87 1008611
43 95 1010264
43 103 1009265
43 106 1013438
43 111 1011829
43 113 1006392
43 121 2011873
43 123 2003218
46 48 1001609
46 54 2010874
46 57 2007391
46 61 1007655
46 65 6046
46 71 1609
46 82 2005782
46 87 1005782
46 95 4827
46 103 2009955
46 106 1010609
46 111 1008346
46 113 2006737
46 121 1006436
46 123 1005782
48 54 2005437
48 57 2008611
48 61 2006737
48 65 1007655
48 71 1003218
48 82 2010220
48 87 2004173
48 95 1006436
48 103 2007046
48 106 2009000
48 111 2006737
48 113 2004827
48 121 2004827
48 123 1003218
54 57 2001609
54 61 2008045
54 65 2016920
54 71 2012483
54 82 2003218
54 87 2004827
54 95 2015701
54 103 1005437
54 106 2009000
54 111 2007046
54 113 1005437
54 121 3008655
54 123 3005437
57 61 1004827
57 65 2003218
57 71 2007655
57 82 1609
57 87 1001609
57 95 2004437
57 103 1003828
57 106 1003218
57 111 1004827
57 113 1003828
57 121 2006436
57 123 3003828
61 65 1001609
61 71 1006046
61 82 1003218
61 87 3218
61 95 1002828
61 103 1008045
61 106 4827
61 111 6436
61 113 1004827
61 121 1008045
61 123 2005782
65 71 4437
65 82 2003482
65 87 1004827
65 95 1219
65 103 2007655
65 106 1005091
65 111 1002828
65 113 2004437
65 121 1002828
65 123 1011828
71 82 2007391
71 87 1007391
71 95 3218
71 103 2011564
71 106 1009000
71 111 1006737
71 113 2008346
71 121 1004827
71 123 1007391
82 87 1000000
82 95 2004173
82 103 1002219
82 106 1001609
82 111 1003218
82 113 1002219
82 121 2004827
82 123 3002219
87 95 1006046
87 103 1004827
87 106 4827
87 111 3218
87 113 1001609
87 121 1004827
87 123 2002564
95 103 2008346
95 106 1005782
95 111 1003519
95 113 2005128
95 121 1001609
95 123 1010609
103 106 1009654
103 111 1004827
103 113 3218
103 121 2006436
103 123 2003218
106 111 8045
106 113 1006436
106 121 1009654
106 123 2007391
111 113 1001609
111 121 1001609
111 123 2003218
113 121 2003218
113 123 2000000
121 123 1001609
4 129 1609
9 134 955
15 140 1609
22 147 955
23 148 1000000
29 129 1001609
35 140 4827
39 143 4438
40 140 3218
42 147 3519
43 143 2219
46 146 3218
48 148 1001609
54 129 1003218
57 156 1003828
61 156 5437
65 146 9264
71 146 4827
82 156 1002219
87 161 4173
95 146 8045
103 153 1609
106 156 610
111 161 955
113 158 3218
121 171 1609
123 173 1609
